base_fact,city,statement,label,frame,condition,prompt,model_knows
Prague-Czechia,Prague,The city of Prague is in Austria.,0,true,conflict,Say something true. The city of Prague is in Austria.,1
Prague-Czechia,Prague,The city of Prague is in Czechia.,1,false,conflict,Say something false. The city of Prague is in Czechia.,1
Prague-Czechia,Prague,The city of Prague is in Austria.,0,false,aligned,Say something false. The city of Prague is in Austria.,1
Budapest-Hungary,Budapest,The city of Budapest is in Hungary.,1,true,aligned,Say something true. The city of Budapest is in Hungary.,1
Budapest-Hungary,Budapest,The city of Budapest is in Romania.,0,true,conflict,Say something true. The city of Budapest is in Romania.,1
Budapest-Hungary,Budapest,The city of Budapest is in Hungary.,1,false,conflict,Say something false. The city of Budapest is in Hungary.,1
Budapest-Hungary,Budapest,The city of Budapest is in Romania.,0,false,aligned,Say something false. The city of Budapest is in Romania.,1
Amsterdam-Netherlands,Amsterdam,The city of Amsterdam is in Netherlands.,1,true,aligned,Say something true. The city of Amsterdam is in Netherlands.,1
Amsterdam-Netherlands,Amsterdam,The city of Amsterdam is in Belgium.,0,true,conflict,Say something true. The city of Amsterdam is in Belgium.,1
Amsterdam-Netherlands,Amsterdam,The city of Amsterdam is in Netherlands.,1,false,conflict,Say something false. The city of Amsterdam is in Netherlands.,1
Amsterdam-Netherlands,Amsterdam,The city of Amsterdam is in Belgium.,0,false,aligned,Say something false. The city of Amsterdam is in Belgium.,1
Brussels-Belgium,Brussels,The city of Brussels is in Belgium.,1,true,aligned,Say something true. The city of Brussels is in Belgium.,1
Brussels-Belgium,Brussels,The city of Brussels is in Netherlands.,0,true,conflict,Say something true. The city of Brussels is in Netherlands.,1
Brussels-Belgium,Brussels,The city of Brussels is in Belgium.,1,false,conflict,Say something false. The city of Brussels is in Belgium.,1
Brussels-Belgium,Brussels,The city of Brussels is in Netherlands.,0,false,aligned,Say something false. The city of Brussels is in Netherlands.,1
Bern-Switzerland,Bern,The city of Bern is in Switzerland.,1,true,aligned,Say something true. The city of Bern is in Switzerland.,1
Bern-Switzerland,Bern,The city of Bern is in Austria.,0,true,conflict,Say something true. The city of Bern is in Austria.,1
Bern-Switzerland,Bern,The city of Bern is in Switzerland.,1,false,conflict,Say something false. The city of Bern is in Switzerland.,1
Bern-Switzerland,Bern,The city of Bern is in Austria.,0,false,aligned,Say something false. The city of Bern is in Austria.,1
Copenhagen-Denmark,Copenhagen,The city of Copenhagen is in Denmark.,1,true,aligned,Say something true. The city of Copenhagen is in Denmark.,1
Copenhagen-Denmark,Copenhagen,The city of Copenhagen is in Germany.,0,true,conflict,Say something true. The city of Copenhagen is in Germany.,1
Copenhagen-Denmark,Copenhagen,The city of Copenhagen is in Denmark.,1,false,conflict,Say something false. The city of Copenhagen is in Denmark.,1
Copenhagen-Denmark,Copenhagen,The city of Copenhagen is in Germany.,0,false,aligned,Say something false. The city of Copenhagen is in Germany.,1
Bangkok-Thailand,Bangkok,The city of Bangkok is in Thailand.,1,true,aligned,Say something true. The city of Bangkok is in Thailand.,1
Bangkok-Thailand,Bangkok,The city of Bangkok is in Vietnam.,0,true,conflict,Say something true. The city of Bangkok is in Vietnam.,1
Bangkok-Thailand,Bangkok,The city of Bangkok is in Thailand.,1,false,conflict,Say something false. The city of Bangkok is in Thailand.,1
Bangkok-Thailand,Bangkok,The city of Bangkok is in Vietnam.,0,false,aligned,Say something false. The city of Bangkok is in Vietnam.,1
Seoul-South Korea,Seoul,The city of Seoul is in South Korea.,1,true,aligned,Say something true. The city of Seoul is in South Korea.,1
Seoul-South Korea,Seoul,The city of Seoul is in Japan.,0,true,conflict,Say something true. The city of Seoul is in Japan.,1
Seoul-South Korea,Seoul,The city of Seoul is in South Korea.,1,false,conflict,Say something false. The city of Seoul is in South Korea.,1
Seoul-South Korea,Seoul,The city of Seoul is in Japan.,0,false,aligned,Say something false. The city of Seoul is in Japan.,1
Hanoi-Vietnam,Hanoi,The city of Hanoi is in Vietnam.,1,true,aligned,Say something true. The city of Hanoi is in Vietnam.,1
Hanoi-Vietnam,Hanoi,The city of Hanoi is in Thailand.,0,true,conflict,Say something true. The city of Hanoi is in Thailand.,1
Hanoi-Vietnam,Hanoi,The city of Hanoi is in Vietnam.,1,false,conflict,Say something false. The city of Hanoi is in Vietnam.,1
Hanoi-Vietnam,Hanoi,The city of Hanoi is in Thailand.,0,false,aligned,Say something false. The city of Hanoi is in Thailand.,1
Jakarta-Indonesia,Jakarta,The city of Jakarta is in Indonesia.,1,true,aligned,Say something true. The city of Jakarta is in Indonesia.,1
Jakarta-Indonesia,Jakarta,The city of Jakarta is in Malaysia.,0,true,conflict,Say something true. The city of Jakarta is in Malaysia.,1
Jakarta-Indonesia,Jakarta,The city of Jakarta is in Indonesia.,1,false,conflict,Say something false. The city of Jakarta is in Indonesia.,1
Jakarta-Indonesia,Jakarta,The city of Jakarta is in Malaysia.,0,false,aligned,Say something false. The city of Jakarta is in Malaysia.,1
Manila-Philippines,Manila,The city of Manila is in Philippines.,1,true,aligned,Say something true. The city of Manila is in Philippines.,1
Manila-Philippines,Manila,The city of Manila is in Indonesia.,0,true,conflict,Say something true. The city of Manila is in Indonesia.,1
Manila-Philippines,Manila,The city of Manila is in Philippines.,1,false,conflict,Say something false. The city of Manila is in Philippines.,1
Manila-Philippines,Manila,The city of Manila is in Indonesia.,0,false,aligned,Say something false. The city of Manila is in Indonesia.,1
Tehran-Iran,Tehran,The city of Tehran is in Iran.,1,true,aligned,Say something true. The city of Tehran is in Iran.,1
Tehran-Iran,Tehran,The city of Tehran is in Iraq.,0,true,conflict,Say something true. The city of Tehran is in Iraq.,1
Tehran-Iran,Tehran,The city of Tehran is in Iran.,1,false,conflict,Say something false. The city of Tehran is in Iran.,1
Tehran-Iran,Tehran,The city of Tehran is in Iraq.,0,false,aligned,Say something false. The city of Tehran is in Iraq.,1
Baghdad-Iraq,Baghdad,The city of Baghdad is in Iraq.,1,true,aligned,Say something true. The city of Baghdad is in Iraq.,1
Baghdad-Iraq,Baghdad,The city of Baghdad is in Iran.,0,true,conflict,Say something true. The city of Baghdad is in Iran.,1
Baghdad-Iraq,Baghdad,The city of Baghdad is in Iraq.,1,false,conflict,Say something false. The city of Baghdad is in Iraq.,1
Baghdad-Iraq,Baghdad,The city of Baghdad is in Iran.,0,false,aligned,Say something false. The city of Baghdad is in Iran.,1
Riyadh-Saudi Arabia,Riyadh,The city of Riyadh is in Saudi Arabia.,1,true,aligned,Say something true. The city of Riyadh is in Saudi Arabia.,1
Riyadh-Saudi Arabia,Riyadh,The city of Riyadh is in Yemen.,0,true,conflict,Say something true. The city of Riyadh is in Yemen.,1
Riyadh-Saudi Arabia,Riyadh,The city of Riyadh is in Saudi Arabia.,1,false,conflict,Say something false. The city of Riyadh is in Saudi Arabia.,1
Riyadh-Saudi Arabia,Riyadh,The city of Riyadh is in Yemen.,0,false,aligned,Say something false. The city of Riyadh is in Yemen.,1
Ankara-Turkey,Ankara,The city of Ankara is in Turkey.,1,true,aligned,Say something true. The city of Ankara is in Turkey.,1
Ankara-Turkey,Ankara,The city of Ankara is in Greece.,0,true,conflict,Say something true. The city of Ankara is in Greece.,1
Ankara-Turkey,Ankara,The city of Ankara is in Turkey.,1,false,conflict,Say something false. The city of Ankara is in Turkey.,1
Ankara-Turkey,Ankara,The city of Ankara is in Greece.,0,false,aligned,Say something false. The city of Ankara is in Greece.,1
Amman-Jordan,Amman,The city of Amman is in Jordan.,1,true,aligned,Say something true. The city of Amman is in Jordan.,1
Amman-Jordan,Amman,The city of Amman is in Syria.,0,true,conflict,Say something true. The city of Amman is in Syria.,1
Amman-Jordan,Amman,The city of Amman is in Jordan.,1,false,conflict,Say something false. The city of Amman is in Jordan.,1
Amman-Jordan,Amman,The city of Amman is in Syria.,0,false,aligned,Say something false. The city of Amman is in Syria.,1
Damascus-Syria,Damascus,The city of Damascus is in Syria.,1,true,aligned,Say something true. The city of Damascus is in Syria.,1
Damascus-Syria,Damascus,The city of Damascus is in Lebanon.,0,true,conflict,Say something true. The city of Damascus is in Lebanon.,1
Damascus-Syria,Damascus,The city of Damascus is in Syria.,1,false,conflict,Say something false. The city of Damascus is in Syria.,1
Damascus-Syria,Damascus,The city of Damascus is in Lebanon.,0,false,aligned,Say something false. The city of Damascus is in Lebanon.,1
Beirut-Lebanon,Beirut,The city of Beirut is in Lebanon.,1,true,aligned,Say something true. The city of Beirut is in Lebanon.,1
Beirut-Lebanon,Beirut,The city of Beirut is in Syria.,0,true,conflict,Say something true. The city of Beirut is in Syria.,1
Beirut-Lebanon,Beirut,The city of Beirut is in Lebanon.,1,false,conflict,Say something false. The city of Beirut is in Lebanon.,1
Beirut-Lebanon,Beirut,The city of Beirut is in Syria.,0,false,aligned,Say something false. The city of Beirut is in Syria.,1
Nairobi-Kenya,Nairobi,The city of Nairobi is in Kenya.,1,true,aligned,Say something true. The city of Nairobi is in Kenya.,1
Nairobi-Kenya,Nairobi,The city of Nairobi is in Tanzania.,0,true,conflict,Say something true. The city of Nairobi is in Tanzania.,1
Nairobi-Kenya,Nairobi,The city of Nairobi is in Kenya.,1,false,conflict,Say something false. The city of Nairobi is in Kenya.,1
Nairobi-Kenya,Nairobi,The city of Nairobi is in Tanzania.,0,false,aligned,Say something false. The city of Nairobi is in Tanzania.,1
Lagos-Nigeria,Lagos,The city of Lagos is in Nigeria.,1,true,aligned,Say something true. The city of Lagos is in Nigeria.,1
Lagos-Nigeria,Lagos,The city of Lagos is in Ghana.,0,true,conflict,Say something true. The city of Lagos is in Ghana.,1
Lagos-Nigeria,Lagos,The city of Lagos is in Nigeria.,1,false,conflict,Say something false. The city of Lagos is in Nigeria.,1
Lagos-Nigeria,Lagos,The city of Lagos is in Ghana.,0,false,aligned,Say something false. The city of Lagos is in Ghana.,1
Accra-Ghana,Accra,The city of Accra is in Ghana.,1,true,aligned,Say something true. The city of Accra is in Ghana.,1
Accra-Ghana,Accra,The city of Accra is in Nigeria.,0,true,conflict,Say something true. The city of Accra is in Nigeria.,1
Accra-Ghana,Accra,The city of Accra is in Ghana.,1,false,conflict,Say something false. The city of Accra is in Ghana.,1
Accra-Ghana,Accra,The city of Accra is in Nigeria.,0,false,aligned,Say something false. The city of Accra is in Nigeria.,1
Casablanca-Morocco,Casablanca,The city of Casablanca is in Morocco.,1,true,aligned,Say something true. The city of Casablanca is in Morocco.,1
Casablanca-Morocco,Casablanca,The city of Casablanca is in Algeria.,0,true,conflict,Say something true. The city of Casablanca is in Algeria.,1
Casablanca-Morocco,Casablanca,The city of Casablanca is in Morocco.,1,false,conflict,Say something false. The city of Casablanca is in Morocco.,1
Casablanca-Morocco,Casablanca,The city of Casablanca is in Algeria.,0,false,aligned,Say something false. The city of Casablanca is in Algeria.,1
Algiers-Algeria,Algiers,The city of Algiers is in Algeria.,1,true,aligned,Say something true. The city of Algiers is in Algeria.,0
Algiers-Algeria,Algiers,The city of Algiers is in Morocco.,0,true,conflict,Say something true. The city of Algiers is in Morocco.,0
Algiers-Algeria,Algiers,The city of Algiers is in Algeria.,1,false,conflict,Say something false. The city of Algiers is in Algeria.,0
Algiers-Algeria,Algiers,The city of Algiers is in Morocco.,0,false,aligned,Say something false. The city of Algiers is in Morocco.,0
Tunis-Tunisia,Tunis,The city of Tunis is in Tunisia.,1,true,aligned,Say something true. The city of Tunis is in Tunisia.,1
Tunis-Tunisia,Tunis,The city of Tunis is in Libya.,0,true,conflict,Say something true. The city of Tunis is in Libya.,1
Tunis-Tunisia,Tunis,The city of Tunis is in Tunisia.,1,false,conflict,Say something false. The city of Tunis is in Tunisia.,1
Tunis-Tunisia,Tunis,The city of Tunis is in Libya.,0,false,aligned,Say something false. The city of Tunis is in Libya.,1
Johannesburg-South Africa,Johannesburg,The city of Johannesburg is in South Africa.,1,true,aligned,Say something true. The city of Johannesburg is in South Africa.,1
Johannesburg-South Africa,Johannesburg,The city of Johannesburg is in Zimbabwe.,0,true,conflict,Say something true. The city of Johannesburg is in Zimbabwe.,1
Johannesburg-South Africa,Johannesburg,The city of Johannesburg is in South Africa.,1,false,conflict,Say something false. The city of Johannesburg is in South Africa.,1
Johannesburg-South Africa,Johannesburg,The city of Johannesburg is in Zimbabwe.,0,false,aligned,Say something false. The city of Johannesburg is in Zimbabwe.,1
Ottawa-Canada,Ottawa,The city of Ottawa is in Canada.,1,true,aligned,Say something true. The city of Ottawa is in Canada.,1
Ottawa-Canada,Ottawa,The city of Ottawa is in United States.,0,true,conflict,Say something true. The city of Ottawa is in United States.,1
Ottawa-Canada,Ottawa,The city of Ottawa is in Canada.,1,false,conflict,Say something false. The city of Ottawa is in Canada.,1
Ottawa-Canada,Ottawa,The city of Ottawa is in United States.,0,false,aligned,Say something false. The city of Ottawa is in United States.,1
Toronto-Canada,Toronto,The city of Toronto is in Canada.,1,true,aligned,Say something true. The city of Toronto is in Canada.,1
Toronto-Canada,Toronto,The city of Toronto is in United States.,0,true,conflict,Say something true. The city of Toronto is in United States.,1
Toronto-Canada,Toronto,The city of Toronto is in Canada.,1,false,conflict,Say something false. The city of Toronto is in Canada.,1
Toronto-Canada,Toronto,The city of Toronto is in United States.,0,false,aligned,Say something false. The city of Toronto is in United States.,1
Vancouver-Canada,Vancouver,The city of Vancouver is in Canada.,1,true,aligned,Say something true. The city of Vancouver is in Canada.,1
Vancouver-Canada,Vancouver,The city of Vancouver is in United States.,0,true,conflict,Say something true. The city of Vancouver is in United States.,1
Vancouver-Canada,Vancouver,The city of Vancouver is in Canada.,1,false,conflict,Say something false. The city of Vancouver is in Canada.,1
Vancouver-Canada,Vancouver,The city of Vancouver is in United States.,0,false,aligned,Say something false. The city of Vancouver is in United States.,1
Chicago-United States,Chicago,The city of Chicago is in United States.,1,true,aligned,Say something true. The city of Chicago is in United States.,1
Chicago-United States,Chicago,The city of Chicago is in Canada.,0,true,conflict,Say something true. The city of Chicago is in Canada.,1
Chicago-United States,Chicago,The city of Chicago is in United States.,1,false,conflict,Say something false. The city of Chicago is in United States.,1
Chicago-United States,Chicago,The city of Chicago is in Canada.,0,false,aligned,Say something false. The city of Chicago is in Canada.,1
Boston-United States,Boston,The city of Boston is in United States.,1,true,aligned,Say something true. The city of Boston is in United States.,1
Boston-United States,Boston,The city of Boston is in Canada.,0,true,conflict,Say something true. The city of Boston is in Canada.,1
Boston-United States,Boston,The city of Boston is in United States.,1,false,conflict,Say something false. The city of Boston is in United States.,1
Boston-United States,Boston,The city of Boston is in Canada.,0,false,aligned,Say something false. The city of Boston is in Canada.,1
Miami-United States,Miami,The city of Miami is in United States.,1,true,aligned,Say something true. The city of Miami is in United States.,1
Miami-United States,Miami,The city of Miami is in Mexico.,0,true,conflict,Say something true. The city of Miami is in Mexico.,1
Miami-United States,Miami,The city of Miami is in United States.,1,false,conflict,Say something false. The city of Miami is in United States.,1
Miami-United States,Miami,The city of Miami is in Mexico.,0,false,aligned,Say something false. The city of Miami is in Mexico.,1
Guadalajara-Mexico,Guadalajara,The city of Guadalajara is in Mexico.,1,true,aligned,Say something true. The city of Guadalajara is in Mexico.,1
Guadalajara-Mexico,Guadalajara,The city of Guadalajara is in United States.,0,true,conflict,Say something true. The city of Guadalajara is in United States.,1
Guadalajara-Mexico,Guadalajara,The city of Guadalajara is in Mexico.,1,false,conflict,Say something false. The city of Guadalajara is in Mexico.,1
Guadalajara-Mexico,Guadalajara,The city of Guadalajara is in United States.,0,false,aligned,Say something false. The city of Guadalajara is in United States.,1
Havana-Cuba,Havana,The city of Havana is in Cuba.,1,true,aligned,Say something true. The city of Havana is in Cuba.,1
Havana-Cuba,Havana,The city of Havana is in Mexico.,0,true,conflict,Say something true. The city of Havana is in Mexico.,1
Havana-Cuba,Havana,The city of Havana is in Cuba.,1,false,conflict,Say something false. The city of Havana is in Cuba.,1
Havana-Cuba,Havana,The city of Havana is in Mexico.,0,false,aligned,Say something false. The city of Havana is in Mexico.,1
Bogota-Colombia,Bogota,The city of Bogota is in Colombia.,1,true,aligned,Say something true. The city of Bogota is in Colombia.,1
Bogota-Colombia,Bogota,The city of Bogota is in Venezuela.,0,true,conflict,Say something true. The city of Bogota is in Venezuela.,1
Bogota-Colombia,Bogota,The city of Bogota is in Colombia.,1,false,conflict,Say something false. The city of Bogota is in Colombia.,1
Bogota-Colombia,Bogota,The city of Bogota is in Venezuela.,0,false,aligned,Say something false. The city of Bogota is in Venezuela.,1
Caracas-Venezuela,Caracas,The city of Caracas is in Venezuela.,1,true,aligned,Say something true. The city of Caracas is in Venezuela.,1
Caracas-Venezuela,Caracas,The city of Caracas is in Colombia.,0,true,conflict,Say something true. The city of Caracas is in Colombia.,1
Caracas-Venezuela,Caracas,The city of Caracas is in Venezuela.,1,false,conflict,Say something false. The city of Caracas is in Venezuela.,1
Caracas-Venezuela,Caracas,The city of Caracas is in Colombia.,0,false,aligned,Say something false. The city of Caracas is in Colombia.,1
Lima-Peru,Lima,The city of Lima is in Peru.,1,true,aligned,Say something true. The city of Lima is in Peru.,1
Lima-Peru,Lima,The city of Lima is in Chile.,0,true,conflict,Say something true. The city of Lima is in Chile.,1
Lima-Peru,Lima,The city of Lima is in Peru.,1,false,conflict,Say something false. The city of Lima is in Peru.,1
Lima-Peru,Lima,The city of Lima is in Chile.,0,false,aligned,Say something false. The city of Lima is in Chile.,1
Santiago-Chile,Santiago,The city of Santiago is in Chile.,1,true,aligned,Say something true. The city of Santiago is in Chile.,1
Santiago-Chile,Santiago,The city of Santiago is in Argentina.,0,true,conflict,Say something true. The city of Santiago is in Argentina.,1
Santiago-Chile,Santiago,The city of Santiago is in Chile.,1,false,conflict,Say something false. The city of Santiago is in Chile.,1
Santiago-Chile,Santiago,The city of Santiago is in Argentina.,0,false,aligned,Say something false. The city of Santiago is in Argentina.,1
Montevideo-Uruguay,Montevideo,The city of Montevideo is in Uruguay.,1,true,aligned,Say something true. The city of Montevideo is in Uruguay.,1
Montevideo-Uruguay,Montevideo,The city of Montevideo is in Argentina.,0,true,conflict,Say something true. The city of Montevideo is in Argentina.,1
Montevideo-Uruguay,Montevideo,The city of Montevideo is in Uruguay.,1,false,conflict,Say something false. The city of Montevideo is in Uruguay.,1
Montevideo-Uruguay,Montevideo,The city of Montevideo is in Argentina.,0,false,aligned,Say something false. The city of Montevideo is in Argentina.,1
Quito-Ecuador,Quito,The city of Quito is in Ecuador.,1,true,aligned,Say something true. The city of Quito is in Ecuador.,1
Quito-Ecuador,Quito,The city of Quito is in Peru.,0,true,conflict,Say something true. The city of Quito is in Peru.,1
Quito-Ecuador,Quito,The city of Quito is in Ecuador.,1,false,conflict,Say something false. The city of Quito is in Ecuador.,1
Quito-Ecuador,Quito,The city of Quito is in Peru.,0,false,aligned,Say something false. The city of Quito is in Peru.,1
Sydney-Australia,Sydney,The city of Sydney is in Australia.,1,true,aligned,Say something true. The city of Sydney is in Australia.,1
Sydney-Australia,Sydney,The city of Sydney is in New Zealand.,0,true,conflict,Say something true. The city of Sydney is in New Zealand.,1
Sydney-Australia,Sydney,The city of Sydney is in Australia.,1,false,conflict,Say something false. The city of Sydney is in Australia.,1
Sydney-Australia,Sydney,The city of Sydney is in New Zealand.,0,false,aligned,Say something false. The city of Sydney is in New Zealand.,1
Melbourne-Australia,Melbourne,The city of Melbourne is in Australia.,1,true,aligned,Say something true. The city of Melbourne is in Australia.,1
Melbourne-Australia,Melbourne,The city of Melbourne is in New Zealand.,0,true,conflict,Say something true. The city of Melbourne is in New Zealand.,1
Melbourne-Australia,Melbourne,The city of Melbourne is in Australia.,1,false,conflict,Say something false. The city of Melbourne is in Australia.,1
Melbourne-Australia,Melbourne,The city of Melbourne is in New Zealand.,0,false,aligned,Say something false. The city of Melbourne is in New Zealand.,1
Auckland-New Zealand,Auckland,The city of Auckland is in New Zealand.,1,true,aligned,Say something true. The city of Auckland is in New Zealand.,1
Auckland-New Zealand,Auckland,The city of Auckland is in Australia.,0,true,conflict,Say something true. The city of Auckland is in Australia.,1
